image,num_lines,trend_1,trend_2,trend_3,trend_4,trend_5,trend_overall
1209.5108v1-Figure11-1.png,1,"ylabel decreases, then abruptly increases to a peak at xlabel _value_, then decreases at a decreasing rate, and then increases at a decreasing rate",,,,,"ylabel decreases, then abruptly increases to a peak at xlabel _value_, then decreases at a decreasing rate, and then increases at a decreasing rate"
1209.5108v1-Figure5-1.png,2,"ylabel abruptly increases to a peak, then decreases and plateaus at _value_, then increases at a decreasing rate, and then plateaus","ylabel abruptly increases to a peak, then decreases to a minimum, then increases at a decreasing rate, and then plateaus",,,,Both lines are on top of each other for values between _value_ and _value_ on the xlabel. Both lines share similar trends for values between _value_ and _value_ on the xlabel.
1209.5430v1-Figure20-1.png,3,ylabel increases at a roughly constant rate,ylabel increases at a roughly constant rate,ylabel increases at a roughly constant rate,,,"Line 1 is above all lines, followed by line 2, and ending with line 3"
1209.5715v1-Figure13-1.png,4,ylabel decreases at a decreasing rate,ylabel at first slowly increases and then abruptly decreases,ylabel at first slowly increases and then abruptly decreases,ylabel decreases at a decreasing rate,,Lines 1 and 4 share the most similar trends
1209.5912v1-Figure1-1.png,4,ylabel decreases at a fairly constant rate,ylabel at first decreases then plateaus and remains horizontal,ylabel at first decreases then plateaus and remains horizontal,ylabel decreases at a decreasing rate,,All lines share the same origin. Lines 1 and 4 appear to be parallel for values after _value_ on the xlabel
1210.3012v1-Figure5-1.png,3,ylabel decreases at a decreasing rate,ylabel decreases at a decreasing rate,ylabel decreases at a decreasing rate,,,All lines share the exact same trend and are on top of each other
1210.3604v1-Figure7-1.png,2,ylabel increases at a constant rate,ylabel increases at a constant rate,,,,Line 2 increases at a faster rate than line 2
1210.3702v1-Figure7-1.png,3,ylabel decreases at first and the fluctuates between increasing and decreasing,ylabel is horizontal at first and then fluctuates between increasing and decreasing,ylabel is horizontal at first and then fluctuates between increasing and decreasing,,,Lines 1 and 2 are the most similar
1210.4881v1-Figure4-1.png,2,ylabel increases roughly at an increasing rate,ylabel increases at a constant rate,,,,The two lines intersect a total of four times
1210.4920v1-Figure6-1.png,1,ylabel decreases at a decreasing rate,,,,,ylabel decreases at a decreasing rate
1210.5219v1-Figure4-1.png,3,"ylabel is at first concave down, then decreases at a decreasing rate, and then plateaus","ylabel is at first concave down, then decreases at a decreasing rate, and then plateaus","ylabel is at first concave down, then decreases at a decreasing rate, and then plateaus",,,Lines 1 and 2 share the most similar trends
1210.5314v2-Figure4-1.png,3,ylabel decreases at an increasing rate,ylabel decreases at an increasing rate,ylabel decreases at an increasing rate,,,All lines share the same origin. Lines 2 and 3 share almost the exact same trend and are on top of each other
1210.5394v1-Figure6-1.png,4,ylabel increases at an increasing rate,ylabel increases roughly at a constant rate,ylabel increases roughly at a constant rate,ylabel increases roughly at a constant rate,,Lines 1 and 3 roughly share the same origin and follow similar trends. Lines 2 and 4 roughly share the same origin and follow similar trends.
1210.5802v2-Figure5-1.png,3,"ylabel is at first horizontal, then slightly increases, then is again horizontal, and then abruptly increases","ylabel at first increases at a decreasing rate, then abruptly increases","ylabel at first increases at a decreasing rate, then abruptly increases",,,Line 3 intersects line 2 three times and intersects line 1 once
1210.6267v1-Figure3.2-1.png,2,ylabel decreases at an increasing rate,ylabel decreases at a constant rate,,,,The two lines intersect at xlabel _value_
1211.1044v2-Figure11-1.png,5,ylabel at first increases at a decreasing rate and then increases at a constant rate,ylabel increases at a decreasing rate,ylabel increases at a decreasing rate,ylabel increases at a decreasing rate,ylabel increases at a decreasing rate,All lines share the same origin and converge to value of _value_ on the ylabel.
1211.1302v2-Figure5-1.png,3,ylabel is at first horizontal then decreases at a decreasing rate and then plateaus,ylabel at first increases and then decreases at a decreasing rate and plateaus at the end,ylabel at first increases and then decreases at a decreasing rate and plateaus at the end,,,All lines converge at a value of _value_ on the ylabel
1211.1736v1-Figure20-1.png,2,ylabel decreases at a decreasing rate,ylabel decreases at a decreasing rate and then abruptly increases and then decreases again,,,,The two lines share two points of intersection that occur near large values of xlabel
1211.2487v1-Figure3-1.png,3,ylabel fluctuates between decreasing and increasing and shows slightly noisy behaviour,ylabel fluctuates between decreasing and increasing and shows slightly noisy behaviour,ylabel fluctuates between decreasing and increasing and shows slightly noisy behaviour,,,Lines 2 and 3 share the same origin. All lines share similar fluctuating trends
1211.3677v1-Figure5-1.png,1,ylabel decreases at a decreasing rate and then plateaus,,,,,ylabel decreases at a decreasing rate and then plateaus
1211.4384v1-Figure3-1.png,3,ylabel at first increases at a decreasing rate and then plateaus,ylabel at first increases at a decreasing rate and then plateaus,ylabel at first increases at a decreasing rate and then plateaus,,,"Lines 1 and 2 share the most similar trends, with line 1 being below line 2"
1211.4473v2-Figure10-1.png,3,ylabel increases at a decreasing rate and then plateaus,ylabel increases at a decreasing rate and then plateaus,ylabel increases at a decreasing rate and then plateaus,,,"Lines 1 and 2 share similar trends, with line 1 increasing at a faster rate than line 2"
1211.7356v1-Figure2-1.png,4,ylabel increases at a constant rate,ylabel increases at a constant rate,ylabel increases at a constant rate,ylabel increases at a constant rate,,"All lines are parallel, with line 1 being above all other lines, followed by line 2, then line 3, and then line 4"
1212.0116v1-Figure5-1.png,3,ylabel increases at a decreasing rate,ylabel increases at a decreasing rate,ylabel increases at a decreasing rate,,,All lines share the same origin and converge on the same endpoint
1212.0217v1-Figure2-1.png,2,ylabel is at first roughly concave up and then roughly concave down,"ylabel at first decreases at a decreasing rate, then is roughly horizontal, and lastly decreases roughly at a decreasing rate",,,,"Both lines follow similar trends, with line 1 being above line 2"
1212.0435v3-Figure12-1.png,1,"ylabel peak at xlabel _value_, then becomes flat, then follows a bell-shaped pattern, and is then flat again",,,,,"ylabel peak at xlabel _value_, then becomes flat, then follows a bell-shaped pattern, and is then flat again"
1212.0873v2-Figure4-1.png,4,ylabel increases at a decreasing rate,ylabel increases at a decreasing rate,ylabel increases at a decreasing rate,ylabel increases at a decreasing rate and then plateaus,,All lines share the same origin. Lines 1 and 2 are most similar to each other and lines 3 and 4 are most similar to each other
1212.0950v1-Figure4-1.png,4,"ylabel fluctuates between being concave up, then concave down, then concave up, then concave down, and lastly concave up again",ylabel fluctuates between increasing and staying horizontal at certain ylabel values,ylabel fluctuates between increasing and staying horizontal at certain ylabel values,ylabel is horizontal at ylabel value _value_,,Lines 2 and 3 share the exact same trend and are on top of each other
1212.0960v1-Figure2-1.png,4,"ylabel at first increases at a constant rate, then plateaus, then again increases at some constant rate, then plateaus, and lastly decreases at some constant rate","ylabel at first increases at a constant rate, then plateaus, then again increases at some constant rate, then plateaus, and lastly increases at some constant rate","ylabel at first increases at a constant rate, then plateaus, then again increases at some constant rate, then plateaus, and lastly increases at some constant rate","ylabel at first increases at a constant rate, then plateaus, then again increases at some constant rate, then plateaus, and lastly increases at some constant rate",,"Lines 1 and 2 share the most similar trends, with line 1 being above line 2 up to xlabel value of _value_ and then line 2 being above line 1"
1212.1115v1-Figure7-1.png,4,"ylabel at first decreases at an increasing rate, then decreases at a decreasing rate, and then plateaus to _value_",ylabel roughly decreases at a constant rate,ylabel roughly decreases at a constant rate,ylabel roughly increases at a constant rate,,Lines 1 and 3 appear to mirror each other's behaviour. Lines 2 and 4 appear to mirror each other's behaviour
1212.1992v1-Figure8-1.png,3,ylabel increases at a constant rate,ylabel is horizontal ,ylabel is horizontal ,,,"All lines share the same origin, and line 3 increases at a faster rate than line 1"
1212.2044v2-Figure3-1.png,2,ylabel fluctuates between decreasing and increasing with noisy behaviour and an overall decreasing pattern,ylabel fluctuates between decreasing and increasing with noisy behaviour and an overall decreasing pattern,,,,Both lines share almost the exact same trend and are almost on top of each other
1212.3216v1-Figure7-1.png,2,"ylabel at first decreases at an increasing rate, then decreases at a decreasing rate, and then plateaus to _value_","ylabel at first is horizontal at _value_, then decreases at an increasing rate, then decreases at a decreasing rate, and then plateaus to _value_",,,,"Both lines share similar trends, with line 1 being to the left of line 2"
1212.4522v2-Figure12-1.png,3,ylabel decreases roughly at a constant rate,ylabel decreases at a decreasing rate,ylabel decreases at a decreasing rate,,,Lines 2 and 3 intersect at xlabel _value_
1212.5620v1-Figure10-1.png,1,"ylabel is horizontal at ylabel value _value_, then increases at a constant rate, and then remains roughly horizontal at ylabel value _value_",,,,,"ylabel is horizontal at ylabel value _value_, then increases at a constant rate, and then remains roughly horizontal at ylabel value _value_"
1212.5633v1-Figure4-1.png,1,ylabel at first increases roughly at a constant rate but then increases clearly at a constant rate,,,,,ylabel at first increases roughly at a constant rate but then increases clearly at a constant rate
1212.5959v1-Figure3-1.png,1,ylabel decreases at a constant rate and then remains roughly horizontal at ylabel value _value_,,,,,ylabel decreases at a constant rate and then remains roughly horizontal at ylabel value _value_
1301.0097v1-Figure2-1.png,2,"ylabel is at first concave down, then increases at an increasing rate to a peak, then decreases at a decreasing rate and at the end is again concave down","ylabel is at first concave down, then increases at an increasing rate to a peak, then decreases at a decreasing rate and at the end is again concave down",,,,Both lines follow similar trends with line 1 being below line 2
1301.0297v1-Figure5-1.png,4,ylabel is horizontal,ylabel is at first concave down and then plateaus,ylabel is at first concave down and then plateaus,ylabel is at first concave down and then plateaus,,Lines 3 and 4 follow almost the exact same trend and are almost fully on top of each other
1301.0633v1-Figure5-1.png,2,ylabel increases at an increasing rate,ylabel is horizontal,,,,The two lines intersect at xlabel value _value_
1301.0775v1-Figure8-1.png,5,ylabel at first increases at a constant rate and then decreases at a constant rate,ylabel roughly decreases at an increasing rate,ylabel roughly decreases at an increasing rate,ylabel at first increases at a constant rate and then decreases at an increasing rate,ylabel at first increases at a constant rate and then decreases at an increasing rate,"Lines 3 and 5 follow the exact same shape, with line 5 being below line 3"
1301.0785v1-Figure3-1.png,2,"ylabel at first decreases roughly at a constant rate, then abruptly drops, and the continues to decrease roughly at a constant rate",ylabel is horizontal,,,,Both lines intersect at their endpoints
1301.0859v1-Figure7-1.png,4,ylabel increases at a constant rate,ylabel increases at an increasing rate,ylabel increases at an increasing rate,ylabel increases at a constant rate,,All lines share the same origin. Lines 1 and 3 are almost on top of each other.
1301.1894v1-Figure7-1.png,3,ylabel increases roughly increases at a constant rate,ylabel increases roughly increases at a constant rate,ylabel increases roughly increases at a constant rate,,,All lines converge on the same endpoint
1301.3816v1-Figure3-1.png,1,"ylabel is at first horizontal, then abruptly increases to peak and abruptly decreases, and at last fluctuates once again between increasing and decreasing",,,,,"ylabel is at first horizontal, then abruptly increases to peak and abruptly decreases, and at last fluctuates once again between increasing and decreasing"
1301.3966v1-Figure9-1.png,4,ylabel increases at a decreasing rate,ylabel at first increases at a decreasing rate and then plateaus,ylabel at first increases at a decreasing rate and then plateaus,ylabel roughly increases at a constant rate,,Lines 1 and 2 are almost on top of each other up to xlabel value _value_ and then begin to diverge
1301.4691v1-Figure7.12-1.png,3,ylabel increases roughly at a constant rate,ylabel increases roughly at a constant rate,ylabel increases roughly at a constant rate,,,All lines share the same origin
1301.5266v1-Figure1-1.png,2,ylabel increases at a decreasing rate,ylabel increases at a decreasing rate and then plateaus at ylabel value _value_,,,,Both lines share the same origin and endpoint
1301.5535v1-Figure2-1.png,1,ylabel decreases at a decreasing rate,,,,,ylabel decreases at a decreasing rate
1301.6198v1-Figure4-1.png,2,ylabel decreases at a constant rate and then abruptly increases at a constant rate,ylabel decreases at a constant rate and then abruptly increases at a constant rate,,,,"The two lines are almost on top of each other, with line 1 being slightly above line 2"
1301.6512v2-Figure5-1.png,2,ylabel increases at a constant rate and then remains horizontal at ylabel value _value_,"ylabel increases at a constant rate, then remains horizontal at ylabel value _value_, then increases at a constant rate, and then remains horizontal at ylabel value _value_",,,,Both lines converge on the same ylabel value of _value_ near the end
1301.6644v1-Figure8.11-1.png,3,ylabel is at first flat and then increases at a decreasing rate,ylabel is at first flat and then increases at a decreasing rate,ylabel is at first flat and then increases at a decreasing rate,,,All lines converge on the same ylabel value of _value_ near the end
1301.6787v1-Figure6-1.png,5,ylabel is at first flat and then forms a wide bell-shaped form and then becomes flat again,ylabel is at first flat and then forms a wide bell-shaped form and then becomes flat again,ylabel is at first flat and then forms a wide bell-shaped form and then becomes flat again,ylabel is at first flat and then is concave and then is flat again,ylabel is at first flat and then is concave and then is flat again,"Lines 1, 2, and 3 share similar trends and shapes"
1301.7245v1-Figure5-1.png,4,ylabel is horizontal at ylabel value _value_,ylabel decreases at a constant rate,ylabel decreases at a constant rate,ylabel decreases at a decreasing rate,,All lines share the same origin but diverge from one another
1302.1105v1-Figure3-1.png,2,ylabel is at first flat and then increases at an increasing rate,ylabel is at first flat and then increases at an increasing rate,,,,"Both lines share similar trends, with line 1 being above line 2"
1302.1314v2-Figure3-1.png,4,ylabel decreases at a decreasing rate,ylabel decreases at a decreasing rate,ylabel decreases at a decreasing rate,ylabel decreases at a constant rate,,"Lines 1 and 2 share similar trends, with line 1 being below line 2. Lines 3 and 4 share similar trends, with line 3 being below line 4"
1302.1541v1-Figure8-1.png,1,ylabel increases at a some constant rate and then increases at a new faster constant rate,,,,,ylabel increases at a some constant rate and then increases at a new faster constant rate
1302.2318v1-Figure9.18-1.png,2,"ylabel fluctuates between decreasing and increasing behaviour, with an overall decreasing behaviour","ylabel fluctuates between decreasing and increasing behaviour, with an overall flat behaviour",,,,The two lines intersect near xlabel _value_
1302.2671v3-Figure6-1.png,2,ylabel decreases roughly at a constant rate,ylabel decreases roughly at a constant rate,,,,Line 2 decreases faster than line 1
1302.2749v2-Figure5-1.png,2,ylabel decreases at a decreasing rate and then plateaus,ylabel decreases at a decreasing rate and then plateaus,,,,Line 1 is below line 2
1302.3826v1-Figure5-1.png,2,ylabel roughly decreases at a decreasing rate,ylabel roughly decreases at a decreasing rate,,,,Line 1 is below line 2
1302.4092v1-Figure5-1.png,2,ylabel increases at a constant rate,ylabel increases at an increasing rate,,,,The two lines share one point of intersection near the end
1302.4387v2-Figure1-1.png,2,ylabel fluctuates between increasing and decreasing with slightly noisy behaviour,ylabel fluctuates between increasing and decreasing with slightly noisy behaviour,,,,"Both lines follow similar patterns, with line 1 being slightly above line 2"
1302.5192v4-Figure11-1.png,3,ylabel increases at a constant rate,ylabel increases at a constant rate,ylabel increases at a constant rate,,,Lines 1 and 2 are on top of each other but slowly begin to diverge from one another
1302.5958v1-Figure6-1.png,4,ylabel decreases at a constant rate,ylabel decreases roughly at a constant rate,ylabel decreases roughly at a constant rate,ylabel decreases at an increasing rate,,Lines 1 and 2 have the most similar trends. Lines 3 and 4 have the most similar trends
1302.6454v1-Figure3-1.png,2,ylabel increases at a constant rate,ylabel decreases at a constant rate,,,,The two lines never intersect and almost mirror each other's behaviour
1302.6602v1-Figure8-1.png,2,ylabel at first increases at some constant rate and then abruptly increases at a new constant rate,ylabel at first increases at some constant rate and then abruptly increases at a new constant rate,,,,Both lines are on top of each other up to xlabel value _value_ and then begin to diverge
1303.0198v1-Figure1-1.png,3,ylabel increases at an increasing rate and then increases at a constant rate,ylabel increases at an increasing rate and then increases at a constant rate,ylabel increases at an increasing rate and then increases at a constant rate,,,All lines share the same origin and then begin to diverge
1303.0572v1-Figure1-1.png,1,ylabel decreases at a decreasing rate,,,,,ylabel decreases at a decreasing rate
1303.2062v1-Figure10-1.png,2,ylabel decreases at an increasing rate,ylabel decreases at an increasing rate,,,,"Both lines share almost the exact same trend, with line 1 being slightly below line 2 near the end"
1303.2062v1-Figure3-1.png,1,"ylabel decreases at a decreasing rate, then decreases at a constant rate, and then decreases an increasing rate",,,,,"ylabel decreases at a decreasing rate, then decreases at a constant rate, and then decreases an increasing rate"
1303.3934v2-Figure7-1.png,2,ylabel fluctuates between increasing and decreasing with noisy behaviour and an overall horizontal trend,ylabel fluctuates between increasing and decreasing with noisy behaviour and an overall horizontal trend,,,,"The two lines share similar trends, with line 1 being above line 2"
1303.4224v1-Figure12-1.png,5,ylabel decreases at an increasing rate,ylabel decreases at an increasing rate,ylabel decreases at an increasing rate,ylabel decreases at an increasing rate,ylabel decreases at an increasing rate,All lines share the same origin and most of them diverge from one another expect for lines 1 and 2 which remain on top of each other
1303.4231v1-Figure8-1.png,2,ylabel decreases at an increasing rate at first and then decreases at a decreasing rate and then increases at a decreasing rate and plateaus,ylabel decreases at an increasing rate at first and then decreases at a decreasing rate and then increases at a decreasing rate and plateaus,,,,The two lines share one point of intersection
1303.5274v1-Figure1-1.png,4,ylabel roughly decreases at a constant rate,"ylabel is at first flat ylabel value _value_, then decreases roughly at a constant rate, and then plateaus at _value_","ylabel is at first flat ylabel value _value_, then decreases roughly at a constant rate, and then plateaus at _value_","ylabel is at first flat ylabel value _value_, then decreases roughly at a constant rate, and then plateaus at _value_",,All lines plateau to _value_ near the end
1303.7039v2-Figure5-1.png,3,ylabel is concave down,ylabel is concave down,ylabel is concave down,,,Line 1 is intersected by both line 2 and line 3
1303.7039v2-Figure6-1.png,3,ylabel is at first concave down and then plateaus,ylabel is concave down,ylabel is concave down,,,Line 1 is intersected by both line 2 and line 3
1303.7197v3-Figure4-1.png,1,ylabel at first increases at a some constant rate and then increases at some new faster constant rate,,,,,ylabel at first increases at a some constant rate and then increases at some new faster constant rate
1303.7287v1-Figure3-1.png,2,ylabel increases at a constant rate,ylabel increases at a constant rate,,,,Both lines follow the exact same trend and are on top of each other
1304.1575v1-Figure1-1.png,1,"ylabel increases at a decreasing rate, then remains horizontal at ylabel value _value_, and then increases at an increasing rate",,,,,"ylabel increases at a decreasing rate, then remains horizontal at ylabel value _value_, and then increases at an increasing rate"
1304.2033v1-Figure12-1.png,3,ylabel is horizontal at ylabel value _value_,ylabel is horizontal at ylabel value _value_,ylabel is horizontal at ylabel value _value_,,,Line 3 intersects both line 1 and line 2
1304.2112v1-Figure6-1.png,3,"ylabel roughly increases at a constant rate, with one abrupt peak",ylabel roughly increases at a constant rate,ylabel roughly increases at a constant rate,,,All lines share the same origin point
1304.2999v2-Figure2-1.png,5,"ylabel is at first horizontal at ylabel _value_, then abruptly drops to ylabel _value_ and remains horizontal, and then abruptly drops to _value_",ylabel decreases at an increasing rate until it becomes vertical and then abruptly becomes horizontal and again begins to decrease at an increasing rate until it becomes vertical,ylabel decreases at an increasing rate until it becomes vertical and then abruptly becomes horizontal and again begins to decrease at an increasing rate until it becomes vertical,ylabel decreases at an increasing rate and then abruptly becomes horizontal and again begins to decrease at an increasing rate,ylabel roughly decreases at a constant rate,All lines share the same origin and end points
1304.3663v4-Figure11-1.png,2,ylabel decreases at a decreasing rate,ylabel decreases at a decreasing rate,,,,Both lines share almost the exact same trends and are almost on top of each other
1304.3819v1-Figure7-1.png,2,ylabel decreases at an increasing rate,ylabel is horizontal,,,,The two lines intersect at xlabel value _value_
1304.7053v1-Figure3-1.png,5,ylabel increases at a decreasing rate and then plateaus,ylabel increases at a decreasing rate and then plateaus,ylabel increases at a decreasing rate and then plateaus,ylabel increases at a decreasing rate and then plateaus,ylabel increases at a decreasing rate and then plateaus,"All lines share similar trends and shapes, with line 1 being below all lines and line 5 being above all lines"
1304.7429v1-Figure12-1.png,1,ylabel fluctuates between increasing at a constant rate and being horizontal,,,,,ylabel fluctuates between increasing at a constant rate and being horizontal
1304.7886v4-Figure6-1.png,2,ylabel decreases at a constant rate,ylabel decreases at a constant rate,,,,Line 1 decreases at a slower rate than line 2
1304.8028v1-Figure9-1.png,2,ylabel roughly decreases at a decreasing rate,ylabel decreases at a decreasing rate,,,,"The two lines do not intersect, with line 2 always being above line 1"
1305.0909v1-Figure9-1.png,4,ylabel is at first concave up and then increases at a decreasing rate,ylabel is at first concave up and then increases at a decreasing rate,ylabel is at first concave up and then increases at a decreasing rate,"ylabel decreases roughly at a constant rate, then plateaus, then increases at a decreasing rate",,"Lines 1, 2, and 3 all share the same origin. Lines 1 and 2 also share the same end point"
1305.1885v1-Figure8-1.png,2,ylabel decreases at a constant rate,ylabel decreases at a constant rate,,,,Line 1 decreases at a slower rate than line 2
